StartEffDate,EndEffDate,Cost,City,County,State,Zip,Svc Type,Mat,Sched,TempOrPerm,Container,Size
8/1/2013,NULL,50.3,FRONT ROYAL,Warren,VA,22630,DSP,C&D,SOC,Permanent,OT,YRDS-30
9/1/2014,NULL,96,PHOENIX,Maricopa,AZ,85016,DSP,T,SOC,Permanent,OT,YRDS-20
10/21/2014,NULL,38,MARTINSVILLE,Morgan,IN,46151,DSP,T,SOC,Permanent,CMP,YRDS-34
11/30/2014,NULL,90,KANSAS CITY,Wyandotte,KS,66106,DSP,T,SOC,Permanent,OT,YRDS-40
1/22/2015,NULL,90,BROOKLYN,Kings,NY,11214,DSP,T,SOC,Permanent,OT,YRDS-10
1/24/2015,NULL,90,QUEENS VILLAGE,Queens,NY,11428,DSP,T,SOC,Permanent,OT,YRDS-10
5/1/2015,NULL,30,CINCINNATI,Hamilton,OH,45246,DSP,T,SOC,Permanent,OT,YRDS-30
5/13/2015,NULL,31.5,LAREDO,Webb,TX,78045,DSP,T,SOC,Permanent,OT,YRDS-30
7/7/2015,NULL,25,ERLANGER,Kenton,KY,41018,DSP,T,SOC,Permanent,CMP,YRDS-34
11/25/2015,NULL,42,NASHVILLE,Davidson,TN,37204,DSP,T,SOC,Permanent,OT,YRDS-30
2/1/2016,NULL,24,MOLINE,Rock Island,IL,61265,DSP,T,SOC,Permanent,OT,YRDS-30
2/1/2016,NULL,39,CHANDLER,Maricopa,AZ,85286,DSP,T,SOC,Permanent,CMP,YRDS-32
2/1/2016,NULL,39,SURPRISE,Maricopa,AZ,85374,DSP,T,SOC,Permanent,CMP,YRDS-32
2/2/2016,NULL,40,MESA,Maricopa,AZ,85206,DSP,T,SOC,Permanent,CMP,YRDS-30
4/1/2016,NULL,70,EXTON,Chester,PA,19341,DSP,T,SOC,Permanent,OT,YRDS-30
4/1/2016,NULL,36,DODGE CITY,Ford,KS,67801,DSP,T,SOC,Permanent,CMP,YRDS-35
5/4/2016,NULL,28,SAN ANTONIO,Bexar,TX,78251,DSP,T,SOC,Permanent,CMP,YRDS-30
7/25/2016,NULL,82.26,RADCLIFF,Hardin,KY,40160,DSP,T,SOC,Permanent,CMP,YRDS-40
9/15/2016,NULL,96,NEW ORLEANS,Jefferson,LA,70121,DSP,T,SOC,Permanent,OT,YRDS-30
9/27/2016,NULL,28,SAN ANTONIO,Bexar,TX,78251,DSP,T,SOC,Permanent,CMP,YRDS-30
10/6/2016,NULL,53.09,LEBANON,Marion,KY,40033,DSP,T,SOC,Permanent,CMP,YRDS-40
10/22/2016,NULL,40,NORTH CHARLESTON,Charleston,SC,29418,DSP,T,SOC,Permanent,OT,YRDS-20
11/1/2016,NULL,29.25,PLATTSMOUTH,Cass,NE,68048,DSP,T,SOC,Permanent,CMP,YRDS-35
11/1/2016,NULL,29.82,OMAHA,Douglas,NE,68108,DSP,T,SOC,Permanent,CMP,YRDS-35
11/1/2016,NULL,29.82,OMAHA,Douglas,NE,68130,DSP,T,SOC,Permanent,CMP,YRDS-35
11/1/2016,NULL,29.25,OMAHA,Douglas,NE,68132,DSP,T,SOC,Permanent,CMP,YRDS-35
12/20/2016,NULL,45,ROSSVILLE,Fayette,TN,38066,DSP,T,SOC,Permanent,OT,YRDS-40
1/26/2017,NULL,50,NEWPORT NEWS,Newport News City,VA,23603,DSP,WD,SOC,Permanent,OT,YRDS-40
2/13/2017,NULL,110.22,FORT LAUDERDALE,Broward,FL,33304,DSP,T,SOC,Permanent,CMP,YRDS-34
4/1/2017,NULL,33.95,HOUSTON,Harris,TX,77024,DSP,T,SOC,Permanent,CMP,YRDS-42
4/25/2017,NULL,24,KNOXVILLE,Knox,TN,37921,DSP,T,SOC,Permanent,CMP,YRDS-40
5/1/2017,NULL,30.25,YUMA,Yuma,AZ,85367,DSP,T,SOC,Permanent,CMP,YRDS-40
6/1/2017,NULL,135,MELROSE PARK,Cook,IL,60160,DSP,T,SOC,Permanent,CMP,YRDS-30
6/1/2017,NULL,153,CHICAGO,Cook,IL,60609,DSP,T,SOC,Permanent,CMP,YRDS-30
6/1/2017,NULL,144.6,CREST HILL,Will,IL,60403,DSP,T,SOC,Permanent,CMP,YRDS-30
6/2/2017,NULL,137.4,CHICAGO HEIGHTS,Cook,IL,60411,DSP,T,SOC,Permanent,CMP,YRDS-30
6/2/2017,NULL,144,CICERO,Cook,IL,60804,DSP,T,SOC,Permanent,CMP,YRDS-35
6/2/2017,NULL,174,PRESCOTT,Yavapai,AZ,86305,DSP,T,SOC,Permanent,CMP,YRDS-35
6/2/2017,NULL,141,DOLTON,Cook,IL,60419,DSP,T,SOC,Permanent,CMP,YRDS-30
6/2/2017,NULL,137.1,OAK FOREST,Cook,IL,60452,DSP,T,SOC,Permanent,CMP,YRDS-30
6/2/2017,NULL,108,THOMPSONS STATION,Williamson,TN,37179,DSP,T,SOC,Permanent,CMP,YRDS-40
6/2/2017,NULL,109.5,WEST LAFAYETTE,Tippecanoe,IN,47906,DSP,T,SOC,Permanent,CMP,YRDS-30
6/2/2017,NULL,138,GALLATIN,Sumner,TN,37066,DSP,T,SOC,Permanent,CMP,YRDS-40
6/2/2017,NULL,65.19,KNOXVILLE,Knox,TN,37922,DSP,T,SOC,Permanent,CMP,YRDS-35
6/2/2017,NULL,90,MESA,Maricopa,AZ,85203,DSP,T,SOC,Permanent,CMP,YRDS-40
6/2/2017,NULL,96,TUCSON,Pima,AZ,85741,DSP,T,SOC,Permanent,CMP,YRDS-34
6/2/2017,NULL,90,SUN CITY WEST,Maricopa,AZ,85375,DSP,T,SOC,Permanent,CMP,YRDS-35
6/2/2017,NULL,90,PHOENIX,Maricopa,AZ,85037,DSP,T,SOC,Permanent,CMP,YRDS-40
6/2/2017,NULL,90,MESA,Maricopa,AZ,85203,DSP,T,SOC,Permanent,CMP,YRDS-40
6/2/2017,NULL,90,SCOTTSDALE,Maricopa,AZ,85258,DSP,T,SOC,Permanent,CMP,YRDS-40
